"NAME","STREET__C","CITY__C","DOB__C","DECISION__C","FIRSTNAME__C","HASBOOKING__C","LASTNAME__C","MOBILEPHONE__C","OTHERPHONE__C","PHONE__C","POSTALCODE__C","REGION__C","EMAIL2__C","EMAIL__C","TRITONID__C"
"Rule39","true","true","true","Merge","false","false","false","true","true","true","true","true","true","true",""
"Rule1","true","true","true","Merge","true","false","true","true","true","true","true","true","true","true",""
"Rule2","true","true","true","Merge","true","false","true","false","false","false","true","true","true","true",""
"Rule3","true","true","true","Merge","true","false","true","true","true","true","true","true","false","false",""
"Rule4","false","true","true","Merge","true","false","true","true","true","true","true","true","true","true",""
"Rule6","true","false","true","Merge","true","false","true","true","true","true","true","true","true","true",""
"Rule7","true","true","true","Merge","true","false","true","true","true","true","false","true","true","true",""
"Rule8","true","true","true","Merge","true","false","true","true","true","true","true","false","true","true",""
"Rule9","true","true","false","Merge","true","false","true","true","true","true","true","false","true","true",""
"Rule10","true","true","true","Merge","true","false","false","true","true","true","true","true","true","true",""
"Rule11","true","true","true","Merge","false","false","true","true","true","true","true","true","true","true",""
"Rule12","false","false","true","Merge","false","false","true","true","true","true","false","true","true","true",""
"Rule13","true","true","false","Create a new Lead/Opportunity","false","false","true","true","true","true","true","true","false","false",""
"Rule14","true","true","true","Create a new Lead/Opportunity","false","false","true","true","true","true","true","true","false","false",""
"Rule15","true","true","false","Create a new Lead/Opportunity","true","false","false","true","true","true","true","true","false","false",""
"Rule17","true","false","true","Merge","true","true","true","true","true","true","false","false","true","true",""
"Rule18","true","false","true","Create a new Lead/Opportunity","false","false","false","true","true","true","false","false","true","true",""
"Rule19","true","false","true","Merge","true","false","true","true","true","true","false","false","true","true",""
"Rule20","false","false","true","Merge","false","false","true","true","true","true","false","false","true","true",""
"Rule21","true","true","true","Merge","true","false","true","false","false","false","false","false","true","true",""
"Rule22","true","false","false","Create a new Lead/Opportunity","false","false","true","true","true","true","false","false","false","false",""
"Rule25","false","true","true","Merge","true","false","true","false","false","false","true","true","true","true",""
"Rule26","false","false","true","Merge","true","false","true","true","true","true","false","false","true","true",""
"Rule28","true","true","true","Merge","true","false","true","false","false","false","true","true","false","false",""
"Rule29","false","true","true","Merge","true","false","true","true","true","true","true","true","false","false",""
"Rule30","false","false","true","Create a new Lead/Opportunity","true","false","true","false","false","false","false","false","false","false",""
"Rule31","false","true","true","Merge","true","false","false","true","true","true","false","true","true","true",""
"Rule32","false","false","true","Merge","true","false","false","true","true","true","true","true","true","true",""
"Rule33","false","false","false","Merge","true","false","true","true","true","true","true","true","true","true",""
"Rule34","true","true","false","Create a new Lead/Opportunity","false","false","false","false","false","false","false","false","true","true",""
"Rule35","false","false","true","Merge","false","false","false","true","true","true","false","false","true","true",""
"Rule36","true","true","false","Create a new Lead/Opportunity","false","false","true","true","true","true","true","false","true","true",""
"Rule37","true","false","false","Merge","true","false","true","false","false","false","true","false","true","true",""
"Rule38","false","false","false","Merge","true","false","true","false","false","false","false","false","false","false","TRUE"
"Rule40","false","false","false","Create a new Lead/Opportunity","false","false","false","true","true","true","false","false","true","true",""
"Rule41","true","true","false","Merge","true","false","true","true","true","true","true","true","true","true",""
