"NAME","MARKETCODE__C","PRODUCT__C","RANKING__C"
"DEB_LSP","DEB","LSP","10.0"
"DEB_MULTI","DEB","MULTI","10.0"
"INB","","","0.0"
"DEB_AY","DEB","APP","10.0"
"DEB_MLY","DEB","APP","10.0"
"DEB_LT","DEB","SCH","10.0"
"ESB_LT","ESB","LT","10.0"
"ESB_AY","ESB","AY","10.0"
"PLW_AYP","PLW","AYP","10.0"
"ESB_ILSP","ESB","ILSP","10.0"
"ESB_ILC","ESB","ILC","10.0"
"PLW_AY","PLW","AY","10.0"
"PLW_ILSP","PLW","ILSP","10.0"
"PLW_ILC","PLW","ILC","10.0"
"PLW_ILS","PLW","ILS","10.0"
"DEB_ILS","DEB","ILS","10.0"
"PLW_LT","PLW","LT","10.0"
"ESB_ILS","ESB","ILS","10.0"
"ESB_AYP","ESB","AY","10.0"
"DEB_ILSU","DEB","ILSU","10.0"
"PLW_ILSH","PLW","ILSH","10.0"
"PLW_ILSU","PLW","ILSU","10.0"
